relative_path,sha256,hash_status,git_state,size_bytes,last_write_utc,classification,classification_reason
__pycache__\conftest.cpython-313-pytest-9.1.1.pyc,63E60B73172C9D5F60A1C111E3962AC6E3E8A00F8AD7D092E8F18B30E7E1F266,EXCLUDED_REGENERABLE,IGNORED_OR_GENERATED,460,2026-07-07T15:46:58.0000000Z,E,Regenerable cache or temporary test artifact
.gitignore,5223FA8BF45D6D9CB00A4AC4779A0EB136D3A706B14231A340B6A708BF0C5E66,STABLE_CANDIDATE, M,796,2026-07-23T01:00:07.6583457Z,D,Operational or separation-boundary asset
.pytest_cache\.gitignore,3ED731B65D06150C138E2DADB0BE0697550888A6B47EB8C45ECC9ADBA8B8E9BD,EXCLUDED_REGENERABLE,IGNORED_OR_GENERATED,37,2026-07-07T15:46:58.0000000Z,E,Regenerable cache or temporary test artifact
.pytest_cache\CACHEDIR.TAG,37DC88EF9A0ABEDDBE81053A6DD8FDFB13AFB613045EA1EB4A5C815A74A3BDE4,EXCLUDED_REGENERABLE,IGNORED_OR_GENERATED,191,2026-07-07T15:46:58.0000000Z,E,Regenerable cache or temporary test artifact
.pytest_cache\README.md,73FD6FCCDD802C419A6B2D983D6C3173B7DA97558AC4B589EDEC2DFE443DB9AD,EXCLUDED_REGENERABLE,IGNORED_OR_GENERATED,302,2026-07-07T15:46:58.0000000Z,E,Regenerable cache or temporary test artifact
.pytest_cache\v\cache\lastfailed,6346D4FAF204EE26C5DDF2E0BAC4CBB44C6EE41F9485DF8AB52ED3228910E1D5,EXCLUDED_REGENERABLE,IGNORED_OR_GENERATED,342,2026-07-23T00:28:13.5343686Z,E,Regenerable cache or temporary test artifact
.pytest_cache\v\cache\nodeids,93B233DB36CA857CC108632FA8F4A4B54626A5FDFDE5BB17CE1AE92ED2B777C4,EXCLUDED_REGENERABLE,IGNORED_OR_GENERATED,38210,2026-07-23T01:06:23.3075487Z,E,Regenerable cache or temporary test artifact
.setup_done,9A2899E09EBCFA7316AECD9B9EEC07E81A5F6B4A1F5C743D8EF1C4FF692CCDBE,ACTIVE_MUTABLE,CLEAN,7,2026-07-18T07:55:57.3689641Z,C,"Runtime, market-data, database, observer, or log artifact"
assets\deltaengine.ico,FFDC918544A420944C2CB8C668FA9AFD7AF82DA9D21438F915E7548D856C5764,STABLE_CANDIDATE,CLEAN,41086,2026-07-18T18:05:14.6834053Z,A,"Application source, configuration, documentation, or test asset"
CompletionLog.md,7F4A051EDD403A4EEA237FCE5E380808A019B452E38A942F66C60C97D4D54AD1,STABLE_CANDIDATE,CLEAN,12283,2026-07-18T07:27:59.8021682Z,A,"Application source, configuration, documentation, or test asset"
config\config.yaml,F8BE253007B3B0523376AA4D2056EBB989537646B22A7EC6AAE651BCC81E40C3,STABLE_CANDIDATE,CLEAN,3399,2026-07-22T21:53:11.5085449Z,A,"Application source, configuration, documentation, or test asset"
config\execution_costs.yaml,126FB05D1CD1CD0E870AA44A40412FF26F5320D04D249B72C0DAD88DA7BC1975,STABLE_CANDIDATE,??,1349,2026-07-23T00:23:54.4435941Z,B,"Current post-HEAD operating, evaluation, or observer work"
