"variant_id","variant_name","base_pattern_id","strategy_family_id","terminal_direction","location_code","location_name","location_orientation","location_condition_ids","location_condition_keys","location_availability","confirmation_policy","confirmation_profile","expiry_class","observability","provenance","inherited_provenance","inherited_source_ids","status"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Session Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","STR-CVD-DIVERGENCE","LONG","SESSION_EXTREME","Session Low","REVERSAL_EDGE","CD-G03-013 CD-G03-014","distance_to_session_low relation_to_session_low","AVAILABLE","BASE_CANONICAL_ONLY","New Extreme / Aggressor Flip","REACTION","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S13 S16","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-PREVIOUS_DAY_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Previous Day Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","STR-CVD-DIVERGENCE","LONG","PREVIOUS_DAY_EXTREME","Previous Day Low","REVERSAL_EDGE","CD-G03-017 CD-G03-018","distance_to_previous_day_low relation_to_previous_day_low","AVAILABLE","BASE_CANONICAL_ONLY","New Extreme / Aggressor Flip","REACTION","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S13 S16","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-ROLLING_5M_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Rolling 5m Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","STR-CVD-DIVERGENCE","LONG","ROLLING_5M_EXTREME","Rolling 5m Low","REVERSAL_EDGE","CD-G03-027 CD-G03-028","distance_to_rolling_5m_low relation_to_rolling_5m_low","AVAILABLE","BASE_CANONICAL_ONLY","New Extreme / Aggressor Flip","REACTION","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S13 S16","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-VALUE_AREA_EDGE-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Value Area Low","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","STR-CVD-DIVERGENCE","LONG","VALUE_AREA_EDGE","Value Area Low","REVERSAL_EDGE","CD-G03-045 CD-G03-046 CD-G11-005 CD-G11-006","distance_to_profile_val relation_to_profile_val value_area_low_distance_session value_area_low_distance_rolling_1h","AVAILABLE","BASE_CANONICAL_ONLY","New Extreme / Aggressor Flip","REACTION","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S13 S16","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-VISIBLE_BOOK_WALL-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Visible Bid Wall","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","STR-CVD-DIVERGENCE","LONG","VISIBLE_BOOK_WALL","Visible Bid Wall","REVERSAL_EDGE","CD-G06-029 CD-G06-030","bid_wall_concentration_top10 distance_to_nearest_bid_wall","AVAILABLE","BASE_CANONICAL_ONLY","New Extreme / Aggressor Flip","REACTION","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S13 S16","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-SHORT-SESSION_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / SHORT / Session High","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","STR-CVD-DIVERGENCE","SHORT","SESSION_EXTREME","Session High","REVERSAL_EDGE","CD-G03-011 CD-G03-012","distance_to_session_high relation_to_session_high","AVAILABLE","BASE_CANONICAL_ONLY","New Extreme / Aggressor Flip","REACTION","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S13 S16","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-SHORT-PREVIOUS_DAY_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / SHORT / Previous Day High","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","STR-CVD-DIVERGENCE","SHORT","PREVIOUS_DAY_EXTREME","Previous Day High","REVERSAL_EDGE","CD-G03-015 CD-G03-016","distance_to_previous_day_high relation_to_previous_day_high","AVAILABLE","BASE_CANONICAL_ONLY","New Extreme / Aggressor Flip","REACTION","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S13 S16","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-SHORT-ROLLING_5M_EXTREME-001","CVD Divergence / New Extreme / Aggressor Flip / SHORT / Rolling 5m High","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","STR-CVD-DIVERGENCE","SHORT","ROLLING_5M_EXTREME","Rolling 5m High","REVERSAL_EDGE","CD-G03-025 CD-G03-026","distance_to_rolling_5m_high relation_to_rolling_5m_high","AVAILABLE","BASE_CANONICAL_ONLY","New Extreme / Aggressor Flip","REACTION","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S13 S16","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-SHORT-VALUE_AREA_EDGE-001","CVD Divergence / New Extreme / Aggressor Flip / SHORT / Value Area High","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","STR-CVD-DIVERGENCE","SHORT","VALUE_AREA_EDGE","Value Area High","REVERSAL_EDGE","CD-G03-043 CD-G03-044 CD-G11-003 CD-G11-004","distance_to_profile_vah relation_to_profile_vah value_area_high_distance_session value_area_high_distance_rolling_1h","AVAILABLE","BASE_CANONICAL_ONLY","New Extreme / Aggressor Flip","REACTION","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S13 S16","UNVALIDATED"
"VAR-CVD-EXTREME-NONCONFIRM-FLIP-SHORT-VISIBLE_BOOK_WALL-001","CVD Divergence / New Extreme / Aggressor Flip / SHORT / Visible Ask Wall","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","STR-CVD-DIVERGENCE","SHORT","VISIBLE_BOOK_WALL","Visible Ask Wall","REVERSAL_EDGE","CD-G06-031 CD-G06-032","ask_wall_concentration_top10 distance_to_nearest_ask_wall","AVAILABLE","BASE_CANONICAL_ONLY","New Extreme / Aggressor Flip","REACTION","DIRECT","DELTAENGINE_DERIVED_VARIANT","WORLD_DERIVED","S13 S16","UNVALIDATED"
