"hook_id","hook_name","category","direction_hint","detector_status","existing_routing_class","asserted_event_classes","capability_predicate_classes","compatible_location_codes","engine_call_scope","runtime_route_enabled","direct_order_authority","routing_gap","status"
"A01","large_bid_wall_appeared","A","UP","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VISIBLE_BOOK_WALL","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A02","large_ask_wall_appeared","A","DOWN","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VISIBLE_BOOK_WALL","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A03","bid_wall_pulled","A","DOWN","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","LIQUIDITY_PULL WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VISIBLE_BOOK_WALL","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A04","ask_wall_pulled","A","UP","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","LIQUIDITY_PULL WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VISIBLE_BOOK_WALL","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A05","bid_depth_thinned","A","DOWN","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","LIQUIDITY_PULL","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A06","ask_depth_thinned","A","UP","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","LIQUIDITY_PULL","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A07","bid_depth_strengthened","A","UP","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","LIQUIDITY_STACK_REBUILD","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A08","ask_depth_strengthened","A","DOWN","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","LIQUIDITY_STACK_REBUILD","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A09","book_asymmetry_bid","A","UP","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","BOOK_IMBALANCE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A10","book_asymmetry_ask","A","DOWN","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","BOOK_IMBALANCE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A11","best_bid_retreat","A","DOWN","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","BOOK_IMBALANCE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","BEST_BID_ASK","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A12","best_ask_retreat","A","UP","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","BOOK_IMBALANCE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","BEST_BID_ASK","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A13","best_bid_advance","A","UP","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","BOOK_IMBALANCE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","BEST_BID_ASK","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A14","best_ask_advance","A","DOWN","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","BOOK_IMBALANCE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","BEST_BID_ASK","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A15","spread_expansion","A","NONE","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","BOOK_IMBALANCE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
"A16","spread_recovery","A","NONE","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","BOOK_IMBALANCE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","","DECISION_RELEVANT_WAKE","NO","NO","","UNVALIDATED"
