"hook_id","hook_name","category","direction_hint","detector_status","detector_file","routing_class","wake_strategies","refresh_condition_ids","refresh_condition_keys","routing_gap","open_position_recheck"
"A01","large_bid_wall_appeared","A","UP","IMPLEMENTED_UNCALIBRATED","dom_wall.py","DECISION_RELEVANT_WAKE","ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G06-029;CD-G06-030;CD-G06-003;CD-G06-004;CD-G16-035","bid_wall_concentration_top10;distance_to_nearest_bid_wall;bid_cumulative_depth_top5;bid_cumulative_depth_top10;bid_passive_defense_holding","","ALL_OPEN_POSITIONS"
"A02","large_ask_wall_appeared","A","DOWN","IMPLEMENTED_UNCALIBRATED","dom_wall.py","DECISION_RELEVANT_WAKE","ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G06-031;CD-G06-032;CD-G06-007;CD-G06-008;CD-G16-036","ask_wall_concentration_top10;distance_to_nearest_ask_wall;ask_cumulative_depth_top5;ask_cumulative_depth_top10;ask_passive_defense_holding","","ALL_OPEN_POSITIONS"
"A03","bid_wall_pulled","A","DOWN","IMPLEMENTED_UNCALIBRATED","dom_wall.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_FAILURE;PULLBACK_CONTINUATION","CD-G07-013;CD-G07-014;CD-G07-005;CD-G07-023;CD-G16-037","bid_pull_ratio_100ms;bid_pull_ratio_1s;bid_cancel_volume_1s;bid_depth_change_1s;bid_passive_defense_failed","","ALL_OPEN_POSITIONS"
"A04","ask_wall_pulled","A","UP","IMPLEMENTED_UNCALIBRATED","dom_wall.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_FAILURE;PULLBACK_CONTINUATION","CD-G07-037;CD-G07-038;CD-G07-029;CD-G07-047;CD-G16-038","ask_pull_ratio_100ms;ask_pull_ratio_1s;ask_cancel_volume_1s;ask_depth_change_1s;ask_passive_defense_failed","","ALL_OPEN_POSITIONS"
"A05","bid_depth_thinned","A","DOWN","IMPLEMENTED_UNCALIBRATED","dom_liquidity.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_FAILURE;PULLBACK_CONTINUATION","CD-G06-003;CD-G04-017;CD-G07-023;CD-G04-024","bid_cumulative_depth_top5;bid_top5_depth_percentile_1m;bid_depth_change_1s;tradeability_state","","ALL_OPEN_POSITIONS"
"A06","ask_depth_thinned","A","UP","IMPLEMENTED_UNCALIBRATED","dom_liquidity.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_FAILURE;PULLBACK_CONTINUATION","CD-G06-007;CD-G04-019;CD-G07-047;CD-G04-024","ask_cumulative_depth_top5;ask_top5_depth_percentile_1m;ask_depth_change_1s;tradeability_state","","ALL_OPEN_POSITIONS"
"A07","bid_depth_strengthened","A","UP","IMPLEMENTED_UNCALIBRATED","dom_liquidity.py","DECISION_RELEVANT_WAKE","ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G06-003;CD-G04-017;CD-G07-008;CD-G16-035","bid_cumulative_depth_top5;bid_top5_depth_percentile_1m;bid_net_flow_1s;bid_passive_defense_holding","","ALL_OPEN_POSITIONS"
"A08","ask_depth_strengthened","A","DOWN","IMPLEMENTED_UNCALIBRATED","dom_liquidity.py","DECISION_RELEVANT_WAKE","ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G06-007;CD-G04-019;CD-G07-032;CD-G16-036","ask_cumulative_depth_top5;ask_top5_depth_percentile_1m;ask_net_flow_1s;ask_passive_defense_holding","","ALL_OPEN_POSITIONS"
"A09","book_asymmetry_bid","A","UP","IMPLEMENTED_UNCALIBRATED","dom_liquidity.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G06-009;CD-G06-013;CD-G06-014","queue_imbalance_top1;queue_imbalance_top5;microprice_top5","","ALL_OPEN_POSITIONS"
"A10","book_asymmetry_ask","A","DOWN","IMPLEMENTED_UNCALIBRATED","dom_liquidity.py","DECISION_RELEVANT_WAKE","BREAKOUT_ACCEPTANCE;FAILED_AUCTION_RECLAIM;ABSORPTION_DEFENSE;ABSORPTION_FAILURE;PULLBACK_CONTINUATION;MOMENTUM_EXHAUSTION","CD-G06-009;CD-G06-013;CD-G06-014","queue_imbalance_top1;queue_imbalance_top5;microprice_top5","","ALL_OPEN_POSITIONS"
