"route_id","hook_id","hook_name","detector_status","engine_call_scope","hook_asserted_event_classes","hook_refresh_predicate_classes","variant_id","variant_name","base_pattern_id","strategy_family_id","terminal_direction","direction_hint","direction_compatibility","location_code","location_match","first_predicate_id","first_predicate_classes","matched_first_classes","matched_update_classes","matched_invalidation_classes","route_roles","runtime_route_enabled","direct_order_authority","status"
"A01::VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-VISIBLE_BOOK_WALL-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-EXTREME-NONCONFIRM-FLIP-LONG-VISIBLE_BOOK_WALL-001","CVD Divergence / New Extreme / Aggressor Flip / LONG / Visible Bid Wall","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","STR-CVD-DIVERGENCE","LONG","UP","HINT_MATCHES_TERMINAL","VISIBLE_BOOK_WALL","True","OPR-001","LOCATION_CONTEXT","","","","LOCATION_ARM_CANDIDATE","NO","NO","UNVALIDATED"
"A01::VAR-CVD-EXTREME-NONCONFIRM-FLIP-SHORT-VISIBLE_BOOK_WALL-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-EXTREME-NONCONFIRM-FLIP-SHORT-VISIBLE_BOOK_WALL-001","CVD Divergence / New Extreme / Aggressor Flip / SHORT / Visible Ask Wall","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","STR-CVD-DIVERGENCE","SHORT","UP","HINT_OPPOSES_TERMINAL","VISIBLE_BOOK_WALL","True","OPR-001","LOCATION_CONTEXT","","","","LOCATION_ARM_CANDIDATE","NO","NO","UNVALIDATED"
"A01::VAR-CVD-ABSORPTION-STRUCTUREBREAK-LONG-SESSION_EXTREME-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-ABSORPTION-STRUCTUREBREAK-LONG-SESSION_EXTREME-001","CVD Divergence / Absorption / Structure Break / LONG / Session Low","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","LONG","UP","HINT_MATCHES_TERMINAL","SESSION_EXTREME","False","OPR-006","LOCATION_CONTEXT TREND_CONTEXT","","ABSORPTION_STATE BREAK_ATTEMPT PRICE_STALL","ABSORPTION_STATE","ACTIVE_INSTANCE_UPDATE INVALIDATION_RECHECK","NO","NO","UNVALIDATED"
"A01::VAR-CVD-ABSORPTION-STRUCTUREBREAK-LONG-PREVIOUS_DAY_EXTREME-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-ABSORPTION-STRUCTUREBREAK-LONG-PREVIOUS_DAY_EXTREME-001","CVD Divergence / Absorption / Structure Break / LONG / Previous Day Low","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","LONG","UP","HINT_MATCHES_TERMINAL","PREVIOUS_DAY_EXTREME","False","OPR-006","LOCATION_CONTEXT TREND_CONTEXT","","ABSORPTION_STATE BREAK_ATTEMPT PRICE_STALL","ABSORPTION_STATE","ACTIVE_INSTANCE_UPDATE INVALIDATION_RECHECK","NO","NO","UNVALIDATED"
"A01::VAR-CVD-ABSORPTION-STRUCTUREBREAK-LONG-ROLLING_5M_EXTREME-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-ABSORPTION-STRUCTUREBREAK-LONG-ROLLING_5M_EXTREME-001","CVD Divergence / Absorption / Structure Break / LONG / Rolling 5m Low","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","LONG","UP","HINT_MATCHES_TERMINAL","ROLLING_5M_EXTREME","False","OPR-006","LOCATION_CONTEXT TREND_CONTEXT","","ABSORPTION_STATE BREAK_ATTEMPT PRICE_STALL","ABSORPTION_STATE","ACTIVE_INSTANCE_UPDATE INVALIDATION_RECHECK","NO","NO","UNVALIDATED"
"A01::VAR-CVD-ABSORPTION-STRUCTUREBREAK-LONG-VALUE_AREA_EDGE-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-ABSORPTION-STRUCTUREBREAK-LONG-VALUE_AREA_EDGE-001","CVD Divergence / Absorption / Structure Break / LONG / Value Area Low","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","LONG","UP","HINT_MATCHES_TERMINAL","VALUE_AREA_EDGE","False","OPR-006","LOCATION_CONTEXT TREND_CONTEXT","","ABSORPTION_STATE BREAK_ATTEMPT PRICE_STALL","ABSORPTION_STATE","ACTIVE_INSTANCE_UPDATE INVALIDATION_RECHECK","NO","NO","UNVALIDATED"
"A01::VAR-CVD-ABSORPTION-STRUCTUREBREAK-LONG-VISIBLE_BOOK_WALL-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-ABSORPTION-STRUCTUREBREAK-LONG-VISIBLE_BOOK_WALL-001","CVD Divergence / Absorption / Structure Break / LONG / Visible Bid Wall","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","LONG","UP","HINT_MATCHES_TERMINAL","VISIBLE_BOOK_WALL","True","OPR-006","LOCATION_CONTEXT TREND_CONTEXT","","ABSORPTION_STATE BREAK_ATTEMPT PRICE_STALL","ABSORPTION_STATE","ACTIVE_INSTANCE_UPDATE INVALIDATION_RECHECK LOCATION_ARM_CANDIDATE","NO","NO","UNVALIDATED"
"A01::VAR-CVD-ABSORPTION-STRUCTUREBREAK-SHORT-SESSION_EXTREME-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-ABSORPTION-STRUCTUREBREAK-SHORT-SESSION_EXTREME-001","CVD Divergence / Absorption / Structure Break / SHORT / Session High","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","SHORT","UP","HINT_OPPOSES_TERMINAL","SESSION_EXTREME","False","OPR-006","LOCATION_CONTEXT TREND_CONTEXT","","ABSORPTION_STATE BREAK_ATTEMPT PRICE_STALL","ABSORPTION_STATE","ACTIVE_INSTANCE_UPDATE INVALIDATION_RECHECK","NO","NO","UNVALIDATED"
"A01::VAR-CVD-ABSORPTION-STRUCTUREBREAK-SHORT-PREVIOUS_DAY_EXTREME-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-ABSORPTION-STRUCTUREBREAK-SHORT-PREVIOUS_DAY_EXTREME-001","CVD Divergence / Absorption / Structure Break / SHORT / Previous Day High","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","SHORT","UP","HINT_OPPOSES_TERMINAL","PREVIOUS_DAY_EXTREME","False","OPR-006","LOCATION_CONTEXT TREND_CONTEXT","","ABSORPTION_STATE BREAK_ATTEMPT PRICE_STALL","ABSORPTION_STATE","ACTIVE_INSTANCE_UPDATE INVALIDATION_RECHECK","NO","NO","UNVALIDATED"
"A01::VAR-CVD-ABSORPTION-STRUCTUREBREAK-SHORT-ROLLING_5M_EXTREME-001","A01","large_bid_wall_appeared","IMPLEMENTED_UNCALIBRATED","DECISION_RELEVANT_WAKE","WALL_STATE","ABSORPTION_STATE BOOK_IMBALANCE BREAK_ATTEMPT BREAKOUT_FAILURE ICEBERG_REFILL LIQUIDITY_PULL LIQUIDITY_STACK_REBUILD PRICE_STALL WALL_STATE","VAR-CVD-ABSORPTION-STRUCTUREBREAK-SHORT-ROLLING_5M_EXTREME-001","CVD Divergence / Absorption / Structure Break / SHORT / Rolling 5m High","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","STR-CVD-DIVERGENCE","SHORT","UP","HINT_OPPOSES_TERMINAL","ROLLING_5M_EXTREME","False","OPR-006","LOCATION_CONTEXT TREND_CONTEXT","","ABSORPTION_STATE BREAK_ATTEMPT PRICE_STALL","ABSORPTION_STATE","ACTIVE_INSTANCE_UPDATE INVALIDATION_RECHECK","NO","NO","UNVALIDATED"
