"predicate_class","condition_selector","condition_candidate_ids","condition_candidate_keys","contradiction_condition_ids","contradiction_condition_keys","freshness_condition_ids","freshness_condition_keys","evaluation_contract","observability","implementation_status","status"
"ABSORPTION_STATE","SIDE_RESOLVED","CD-G16-001 CD-G16-002 CD-G09-026 CD-G09-030","bid_absorption_like_active ask_absorption_like_active buy_no_progress_ratio_1s sell_no_progress_ratio_1s","CD-G16-037 CD-G16-038","bid_passive_defense_failed ask_passive_defense_failed","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","Evaluate ABSORPTION_STATE with a versioned comparator; candidates are material routes, not simultaneous votes.","HYBRID","COMPOSITE_CONDITION_AVAILABLE","UNVALIDATED"
"AUCTION_EXCESS","REFERENCE_SIDE_RESOLVED","CD-G11-021 CD-G11-023 CD-G11-025 CD-G11-027","excess_high_score_session excess_low_score_session poor_high_score_session poor_low_score_session","CD-G11-029 CD-G11-031","acceptance_above_value_session acceptance_below_value_session","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate AUCTION_EXCESS with a versioned comparator; candidates are material routes, not simultaneous votes.","DERIVED","DERIVED_EVALUATOR_REQUIRED","UNVALIDATED"
"BALANCE_CONTEXT","SYMMETRIC","CD-G02-017 CD-G02-018 CD-G11-013 CD-G11-014","balance_regime compression_regime profile_balance_score_session profile_balance_score_rolling_1h","CD-G02-019","expansion_regime","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate BALANCE_CONTEXT with a versioned comparator; candidates are material routes, not simultaneous votes.","DIRECT","DERIVED_EVALUATOR_REQUIRED","UNVALIDATED"
"BOOK_IMBALANCE","SIDE_RESOLVED","CD-G06-009 CD-G06-010 CD-G06-011 CD-G06-012","queue_imbalance_top1 microprice_top1 queue_imbalance_top3 microprice_top3","CD-G06-009 CD-G06-011","queue_imbalance_top1 queue_imbalance_top3","CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-020 CD-G01-021 CD-G01-027","depth_book_synced depth_sequence_contiguous depth_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed market_state_atomic cross_source_time_aligned window_complete","Evaluate BOOK_IMBALANCE with a versioned comparator; candidates are material routes, not simultaneous votes.","DIRECT","DERIVED_EVALUATOR_REQUIRED","UNVALIDATED"
"BREAK_ATTEMPT","SIDE_RESOLVED","CD-G16-019 CD-G16-020 CD-G09-002 CD-G09-006","upside_breakout_attempt downside_breakout_attempt upward_progress_ticks_1s downward_progress_ticks_1s","CD-G16-023 CD-G16-024","upside_breakout_failure downside_breakout_failure","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","Evaluate BREAK_ATTEMPT with a versioned comparator; candidates are material routes, not simultaneous votes.","HYBRID","COMPOSITE_CONDITION_AVAILABLE","UNVALIDATED"
"BREAKOUT_FAILURE","SIDE_RESOLVED","CD-G16-023 CD-G16-024 CD-G09-034 CD-G09-038","upside_breakout_failure downside_breakout_failure reversion_from_window_high_1s reversion_from_window_low_1s","CD-G16-021 CD-G16-022","upside_breakout_follow_through downside_breakout_follow_through","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","Evaluate BREAKOUT_FAILURE with a versioned comparator; candidates are material routes, not simultaneous votes.","HYBRID","COMPOSITE_CONDITION_AVAILABLE","UNVALIDATED"
"DELTA_FLIP","SIDE_RESOLVED","CD-G10-001 CD-G10-002 CD-G10-013 CD-G10-014","trade_delta_1s trade_delta_5s delta_acceleration_1s delta_acceleration_5s","CD-G10-001 CD-G10-002","trade_delta_1s trade_delta_5s","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate DELTA_FLIP with a versioned comparator; candidates are material routes, not simultaneous votes.","DIRECT","DERIVED_EVALUATOR_REQUIRED","UNVALIDATED"
"DELTA_STATE","SIDE_RESOLVED","CD-G10-001 CD-G10-002 CD-G10-005 CD-G10-006 CD-G10-009 CD-G10-010","trade_delta_1s trade_delta_5s cvd_change_1s cvd_change_5s cvd_slope_1s cvd_slope_5s","CD-G10-001 CD-G10-002","trade_delta_1s trade_delta_5s","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate DELTA_STATE with a versioned comparator; candidates are material routes, not simultaneous votes.","DIRECT","DERIVED_EVALUATOR_REQUIRED","UNVALIDATED"
"EVENT_REACTION","DYNAMIC_FROM_EVENT","CD-G02-014 CD-G02-015 CD-G08-002 CD-G08-026","scheduled_macro_event_proximity post_news_cooldown_state buy_market_volume_1s sell_market_volume_1s","CD-G02-015","post_news_cooldown_state","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate EVENT_REACTION with a versioned comparator; candidates are material routes, not simultaneous votes.","LIMITED","EXT_CALENDAR_REQUIRED","UNVALIDATED"
"FLOW_PRICE_DIVERGENCE","SIDE_RESOLVED","CD-G16-048 CD-G10-006 CD-G10-010 CD-G09-002 CD-G09-006","flow_price_divergence_active cvd_change_5s cvd_slope_5s upward_progress_ticks_1s downward_progress_ticks_1s","CD-G16-021 CD-G16-022","upside_breakout_follow_through downside_breakout_follow_through","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate FLOW_PRICE_DIVERGENCE with a versioned comparator; candidates are material routes, not simultaneous votes.","HYBRID","COMPOSITE_CONDITION_AVAILABLE","UNVALIDATED"
"FOOTPRINT_IMBALANCE","SIDE_RESOLVED","CD-G10-022 CD-G10-026 CD-G10-030 CD-G10-034","positive_imbalance_count_5s negative_imbalance_count_5s stacked_buy_imbalance_depth_5s stacked_sell_imbalance_depth_5s","CD-G10-022 CD-G10-026","positive_imbalance_count_5s negative_imbalance_count_5s","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","Evaluate FOOTPRINT_IMBALANCE with a versioned comparator; candidates are material routes, not simultaneous votes.","DIRECT","DERIVED_EVALUATOR_REQUIRED","UNVALIDATED"
"ICEBERG_REFILL","SIDE_RESOLVED","CD-G07-011 CD-G07-020 CD-G07-035 CD-G07-044 CD-G09-026 CD-G09-030","bid_refresh_count_1s bid_level_turnover_1s ask_refresh_count_1s ask_level_turnover_1s buy_no_progress_ratio_1s sell_no_progress_ratio_1s","CD-G16-037 CD-G16-038","bid_passive_defense_failed ask_passive_defense_failed","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","Evaluate ICEBERG_REFILL with a versioned comparator; candidates are material routes, not simultaneous votes.","INFERRED","INFERRED_MBP_REQUIRED","UNVALIDATED"
"LIQUIDATION_FLOW","SIDE_RESOLVED","CD-G12-024 CD-G12-027 CD-G12-030 CD-G16-046 CD-G16-047","observed_liquidation_buy_notional_5s observed_liquidation_sell_notional_5s observed_liquidation_imbalance_5s observed_liquidation_led_upmove observed_liquidation_led_downmove","CD-G12-030","observed_liquidation_imbalance_5s","CD-G01-006 CD-G01-009 CD-G01-011 CD-G01-021 CD-G01-027","liquidation_event_fresh exchange_clock_aligned event_order_monotonic cross_source_time_aligned window_complete","Evaluate LIQUIDATION_FLOW with a versioned comparator; candidates are material routes, not simultaneous votes.","DIRECT","COMPOSITE_CONDITION_AVAILABLE","UNVALIDATED"
"LIQUIDITY_PULL","SIDE_RESOLVED","CD-G07-014 CD-G07-023 CD-G07-038 CD-G07-047","bid_pull_ratio_1s bid_depth_change_1s ask_pull_ratio_1s ask_depth_change_1s","CD-G07-017 CD-G07-041","bid_stack_ratio_1s ask_stack_ratio_1s","CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-020 CD-G01-021 CD-G01-027","depth_book_synced depth_sequence_contiguous depth_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed market_state_atomic cross_source_time_aligned window_complete","Evaluate LIQUIDITY_PULL with a versioned comparator; candidates are material routes, not simultaneous votes.","DIRECT","DERIVED_EVALUATOR_REQUIRED","UNVALIDATED"
"LIQUIDITY_STACK_REBUILD","SIDE_RESOLVED","CD-G07-008 CD-G07-011 CD-G07-017 CD-G07-032 CD-G07-035 CD-G07-041","bid_net_flow_1s bid_refresh_count_1s bid_stack_ratio_1s ask_net_flow_1s ask_refresh_count_1s ask_stack_ratio_1s","CD-G07-014 CD-G07-038","bid_pull_ratio_1s ask_pull_ratio_1s","CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-020 CD-G01-021 CD-G01-027","depth_book_synced depth_sequence_contiguous depth_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed market_state_atomic cross_source_time_aligned window_complete","Evaluate LIQUIDITY_STACK_REBUILD with a versioned comparator; candidates are material routes, not simultaneous votes.","DIRECT","DERIVED_EVALUATOR_REQUIRED","UNVALIDATED"
"LOCATION_CONTEXT","VARIANT_LOCATION","","","","","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","Evaluate LOCATION_CONTEXT with a versioned comparator; candidates are material routes, not simultaneous votes.","DIRECT","VARIANT_LOCATION_SELECTOR","UNVALIDATED"
"OPEN_INTEREST_CHANGE","SIGN_RESOLVED","CD-G12-001 CD-G12-002 CD-G12-003","open_interest_change_5m open_interest_pct_change_5m price_oi_joint_state_5m","CD-G12-001 CD-G12-002","open_interest_change_5m open_interest_pct_change_5m","CD-G01-007 CD-G01-009 CD-G01-011 CD-G01-021 CD-G01-024 CD-G01-027","open_interest_snapshot_fresh exchange_clock_aligned event_order_monotonic cross_source_time_aligned sampling_limit_disclosed window_complete","Evaluate OPEN_INTEREST_CHANGE with a versioned comparator; candidates are material routes, not simultaneous votes.","LIMITED","DERIVED_EVALUATOR_REQUIRED","UNVALIDATED"
