"predicate_id","predicate_kind","observation_text","predicate_classes","side_binding","condition_selectors","condition_candidate_ids","condition_candidate_keys","contradiction_condition_ids","contradiction_condition_keys","freshness_condition_ids","freshness_condition_keys","evaluation_contract","observability","implementation_status","base_edge_ids","status"
"OPR-001","OBSERVATION","key level接近","LOCATION_CONTEXT","DYNAMIC_FROM_PATTERN_CONTEXT","VARIANT_LOCATION","","","","","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","VARIANT_LOCATION_SELECTOR","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E01","UNVALIDATED"
"OPR-002","OBSERVATION","priceだけ新極値","PRICE_STRUCTURE","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G03-021 CD-G03-023 CD-G03-025 CD-G03-027 CD-G09-002 CD-G09-006","distance_to_rolling_1m_high distance_to_rolling_1m_low distance_to_rolling_5m_high distance_to_rolling_5m_low upward_progress_ticks_1s downward_progress_ticks_1s","CD-G16-023 CD-G16-024","upside_breakout_failure downside_breakout_failure","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DERIVED","DERIVED_EVALUATOR_REQUIRED","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E02","UNVALIDATED"
"OPR-003","OBSERVATION","CVD不追随","DELTA_STATE FLOW_PRICE_DIVERGENCE","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G10-001 CD-G10-002 CD-G10-005 CD-G10-006 CD-G10-009 CD-G10-010 CD-G16-048 CD-G09-002 CD-G09-006","trade_delta_1s trade_delta_5s cvd_change_1s cvd_change_5s cvd_slope_1s cvd_slope_5s flow_price_divergence_active upward_progress_ticks_1s downward_progress_ticks_1s","CD-G10-001 CD-G10-002 CD-G16-021 CD-G16-022","trade_delta_1s trade_delta_5s upside_breakout_follow_through downside_breakout_follow_through","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT HYBRID","COMPOSITE_CONDITION_AVAILABLE DERIVED_EVALUATOR_REQUIRED","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E03","UNVALIDATED"
"OPR-004","OBSERVATION","initiator volume減衰","TAPE_AGGRESSION TAPE_FADE TAPE_PARTICIPATION","OBSERVED_INITIATOR_SIDE","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002 CD-G16-007 CD-G16-008 CD-G16-033 CD-G16-034 CD-G10-014 CD-G04-015 CD-G08-005 CD-G08-029","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s buyer_fade_active seller_fade_active buy_momentum_fading sell_momentum_fading delta_acceleration_5s trade_rate_percentile_1m buy_trade_count_1s sell_trade_count_1s","CD-G16-007 CD-G16-008 CD-G16-009 CD-G16-010 CD-G04-015","buyer_fade_active seller_fade_active buyers_jump_in sellers_jump_in trade_rate_percentile_1m","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT HYBRID","COMPOSITE_CONDITION_AVAILABLE DERIVED_EVALUATOR_REQUIRED","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E04","UNVALIDATED"
"OPR-005","OBSERVATION","opposite aggression","TAPE_AGGRESSION","TERMINAL_SIDE","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s","CD-G16-007 CD-G16-008","buyer_fade_active seller_fade_active","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E05 PAT-CVD-RETEST-WEAKER-001::E05","UNVALIDATED"
"OPR-006","OBSERVATION","trendがliquidityへ到達","LOCATION_CONTEXT TREND_CONTEXT","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED VARIANT_LOCATION","CD-G02-016 CD-G02-023 CD-G16-040 CD-G16-041 CD-G09-002 CD-G09-006","trend_regime regime_age directional_flow_resumed_up directional_flow_resumed_down upward_progress_ticks_1s downward_progress_ticks_1s","CD-G02-017","balance_regime","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT HYBRID","DERIVED_EVALUATOR_REQUIRED VARIANT_LOCATION_SELECTOR","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001::E01","UNVALIDATED"
"OPR-007","OBSERVATION","divergence","FLOW_PRICE_DIVERGENCE","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G16-048 CD-G10-006 CD-G10-010 CD-G09-002 CD-G09-006","flow_price_divergence_active cvd_change_5s cvd_slope_5s upward_progress_ticks_1s downward_progress_ticks_1s","CD-G16-021 CD-G16-022","upside_breakout_follow_through downside_breakout_follow_through","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","HYBRID","COMPOSITE_CONDITION_AVAILABLE","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001::E02 PAT-CVD-RETEST-WEAKER-001::E02","UNVALIDATED"
"OPR-008","OBSERVATION","aggression継続でもprice停止","PRICE_STALL TAPE_AGGRESSION","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G09-026 CD-G09-030 CD-G16-033 CD-G16-034 CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002","buy_no_progress_ratio_1s sell_no_progress_ratio_1s buy_momentum_fading sell_momentum_fading buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s","CD-G09-002 CD-G09-006 CD-G16-007 CD-G16-008","upward_progress_ticks_1s downward_progress_ticks_1s buyer_fade_active seller_fade_active","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT HYBRID","DERIVED_EVALUATOR_REQUIRED","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001::E03","UNVALIDATED"
"OPR-009","OBSERVATION","absorption","ABSORPTION_STATE","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G16-001 CD-G16-002 CD-G09-026 CD-G09-030","bid_absorption_like_active ask_absorption_like_active buy_no_progress_ratio_1s sell_no_progress_ratio_1s","CD-G16-037 CD-G16-038","bid_passive_defense_failed ask_passive_defense_failed","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","HYBRID","COMPOSITE_CONDITION_AVAILABLE","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001::E04 PAT-ABS-FULL-THREE-ELEMENT-001::E03 PAT-DF-NEGABS-NOLOW-POSFLIP-001::E02","UNVALIDATED"
"OPR-010","OBSERVATION","minor structureを反対向きにbreak","BREAK_ATTEMPT","TERMINAL_SIDE","SIDE_RESOLVED","CD-G16-019 CD-G16-020 CD-G09-002 CD-G09-006","upside_breakout_attempt downside_breakout_attempt upward_progress_ticks_1s downward_progress_ticks_1s","CD-G16-023 CD-G16-024","upside_breakout_failure downside_breakout_failure","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","HYBRID","COMPOSITE_CONDITION_AVAILABLE","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001::E05","UNVALIDATED"
