"strategy_id","variant","phase","role","gate","condition_id","condition_key","independence_lineage","rationale"
"ABSORPTION_DEFENSE","BOTH","CONTEXT","ENVIRONMENT","CONTEXT_INPUT","CD-G02-001","session_id","REGIME:session_id","市場環境を記録しvariant適用範囲を決める。calendar未接続値はUNKNOWNを許容"
"ABSORPTION_DEFENSE","BOTH","CONTEXT","ENVIRONMENT","CONTEXT_INPUT","CD-G02-002","session_phase","REGIME:session_phase","市場環境を記録しvariant適用範囲を決める。calendar未接続値はUNKNOWNを許容"
"ABSORPTION_DEFENSE","BOTH","CONTEXT","ENVIRONMENT","CONTEXT_INPUT","CD-G02-012","funding_event_proximity","REGIME:funding_event_proximity","市場環境を記録しvariant適用範囲を決める。calendar未接続値はUNKNOWNを許容"
"ABSORPTION_DEFENSE","BOTH","CONTEXT","ENVIRONMENT","CONTEXT_INPUT","CD-G02-014","scheduled_macro_event_proximity","REGIME:scheduled_macro_event_proximity","市場環境を記録しvariant適用範囲を決める。calendar未接続値はUNKNOWNを許容"
"ABSORPTION_DEFENSE","BOTH","CONTEXT","ENVIRONMENT","CONTEXT_INPUT","CD-G02-015","post_news_cooldown_state","REGIME:post_news_cooldown_state","市場環境を記録しvariant適用範囲を決める。calendar未接続値はUNKNOWNを許容"
"ABSORPTION_DEFENSE","BOTH","CONTEXT","ENVIRONMENT","CONTEXT_INPUT","CD-G02-017","balance_regime","REGIME:balance_regime","Strategy固有のregime適格性とbaseline比較"
"ABSORPTION_DEFENSE","BOTH","CONTEXT","ENVIRONMENT","CONTEXT_INPUT","CD-G02-020","participation_regime","REGIME:participation_regime","市場環境を記録しvariant適用範囲を決める。calendar未接続値はUNKNOWNを許容"
"ABSORPTION_DEFENSE","BOTH","CONTEXT","ENVIRONMENT","CONTEXT_INPUT","CD-G02-021","volatility_regime","REGIME:volatility_regime","市場環境を記録しvariant適用範囲を決める。calendar未接続値はUNKNOWNを許容"
"ABSORPTION_DEFENSE","BOTH","CONTEXT","ENVIRONMENT","CONTEXT_INPUT","CD-G02-022","liquidity_regime","REGIME:liquidity_regime","市場環境を記録しvariant適用範囲を決める。calendar未接続値はUNKNOWNを許容"
"ABSORPTION_DEFENSE","BOTH","CONTEXT","ENVIRONMENT","CONTEXT_INPUT","CD-G02-023","regime_age","REGIME:regime_age","Strategy固有のregime適格性とbaseline比較"
"ABSORPTION_DEFENSE","BOTH","CONTEXT","ENVIRONMENT","CONTEXT_INPUT","CD-G04-011","spread_ticks","LIQUIDITY:SPREAD","市場環境を記録しvariant適用範囲を決める。calendar未接続値はUNKNOWNを許容"
"ABSORPTION_DEFENSE","BOTH","CONTEXT","ENVIRONMENT","CONTEXT_INPUT","CD-G04-015","trade_rate_percentile_1m","LIQUIDITY:TRADE_RATE","Strategy固有のregime適格性とbaseline比較"
"ABSORPTION_DEFENSE","BOTH","CONTEXT","ENVIRONMENT","CONTEXT_INPUT","CD-G04-016","trade_rate_percentile_5m","LIQUIDITY:TRADE_RATE","Strategy固有のregime適格性とbaseline比較"
"ABSORPTION_DEFENSE","BOTH","CONTEXT","ENVIRONMENT","CONTEXT_INPUT","CD-G04-017","bid_top5_depth_percentile_1m","LIQUIDITY:TOP5_DEPTH:bid","Strategy固有のregime適格性とbaseline比較"
"ABSORPTION_DEFENSE","BOTH","CONTEXT","ENVIRONMENT","CONTEXT_INPUT","CD-G04-019","ask_top5_depth_percentile_1m","LIQUIDITY:TOP5_DEPTH:ask","Strategy固有のregime適格性とbaseline比較"
"ABSORPTION_DEFENSE","BOTH","CONTEXT","ENVIRONMENT","CONTEXT_INPUT","CD-G04-023","volatility_state","VOLATILITY:STATE","市場環境を記録しvariant適用範囲を決める。calendar未接続値はUNKNOWNを許容"
"ABSORPTION_DEFENSE","BOTH","CONTEXT","ENVIRONMENT","CONTEXT_INPUT","CD-G04-024","tradeability_state","LIQUIDITY:STATE","市場環境を記録しvariant適用範囲を決める。calendar未接続値はUNKNOWNを許容"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-001","position_is_open","POSITION:position_is_open","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-002","side_matches_strategy","POSITION:side_matches_strategy","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-003","entry_fill_confirmed","POSITION:entry_fill_confirmed","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-004","holding_time_within_limit","POSITION:holding_time_within_limit","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-005","expected_reaction_deadline_clear","POSITION:expected_reaction_deadline_clear","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-006","unrealized_pnl_state","POSITION:unrealized_pnl_state","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-007","mae_within_limit","POSITION:mae_within_limit","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-008","mfe_state","POSITION:mfe_state","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-009","price_progress_supports_thesis","POSITION:price_progress_supports_thesis","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-010","order_flow_supports_thesis","POSITION:order_flow_supports_thesis","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-013","contradiction_below_limit","POSITION:contradiction_below_limit","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-014","invalidation_absent","POSITION:invalidation_absent","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-015","add_size_eligible","POSITION:add_size_eligible","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-016","reduce_size_required","POSITION:reduce_size_required","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-017","exit_required","POSITION:exit_required","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-018","reverse_candidate","POSITION:reverse_candidate","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-019","trailing_invalidation_updated","POSITION:trailing_invalidation_updated","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-020","remaining_risk_within_limit","POSITION:remaining_risk_within_limit","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-021","competing_strategy_dominant","POSITION:competing_strategy_dominant","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-022","satisfaction_tier_not_downgraded","POSITION:satisfaction_tier_not_downgraded","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-023","post_entry_data_fresh","POSITION:post_entry_data_fresh","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","POSITION","POSITION","MANAGE","CD-G15-024","flat_confirmation_received","POSITION:flat_confirmation_received","entry後Hookごとに追加・縮小・決済・反転を再判定"
"ABSORPTION_DEFENSE","BOTH","PRE_EVAL","QUALITY","HARD_ALL","CD-G01-001","depth_book_synced","QUALITY:depth_book_synced","欠損・gap・stale・future leakageをsupport条件で相殺せず発注評価を止める"
"ABSORPTION_DEFENSE","BOTH","PRE_EVAL","QUALITY","HARD_ALL","CD-G01-002","depth_sequence_contiguous","QUALITY:depth_sequence_contiguous","欠損・gap・stale・future leakageをsupport条件で相殺せず発注評価を止める"
"ABSORPTION_DEFENSE","BOTH","PRE_EVAL","QUALITY","HARD_ALL","CD-G01-003","depth_snapshot_applied","QUALITY:depth_snapshot_applied","欠損・gap・stale・future leakageをsupport条件で相殺せず発注評価を止める"
"ABSORPTION_DEFENSE","BOTH","PRE_EVAL","QUALITY","HARD_ALL","CD-G01-004","depth_event_fresh","QUALITY:depth_event_fresh","欠損・gap・stale・future leakageをsupport条件で相殺せず発注評価を止める"
"ABSORPTION_DEFENSE","BOTH","PRE_EVAL","QUALITY","HARD_ALL","CD-G01-005","trade_event_fresh","QUALITY:trade_event_fresh","欠損・gap・stale・future leakageをsupport条件で相殺せず発注評価を止める"
"ABSORPTION_DEFENSE","BOTH","PRE_EVAL","QUALITY","HARD_ALL","CD-G01-009","exchange_clock_aligned","QUALITY:exchange_clock_aligned","欠損・gap・stale・future leakageをsupport条件で相殺せず発注評価を止める"
"ABSORPTION_DEFENSE","BOTH","PRE_EVAL","QUALITY","HARD_ALL","CD-G01-010","receive_clock_monotonic","QUALITY:receive_clock_monotonic","欠損・gap・stale・future leakageをsupport条件で相殺せず発注評価を止める"
"ABSORPTION_DEFENSE","BOTH","PRE_EVAL","QUALITY","HARD_ALL","CD-G01-011","event_order_monotonic","QUALITY:event_order_monotonic","欠損・gap・stale・future leakageをsupport条件で相殺せず発注評価を止める"
"ABSORPTION_DEFENSE","BOTH","PRE_EVAL","QUALITY","HARD_ALL","CD-G01-012","schema_version_known","QUALITY:schema_version_known","欠損・gap・stale・future leakageをsupport条件で相殺せず発注評価を止める"
"ABSORPTION_DEFENSE","BOTH","PRE_EVAL","QUALITY","HARD_ALL","CD-G01-013","symbol_mapping_valid","QUALITY:symbol_mapping_valid","欠損・gap・stale・future leakageをsupport条件で相殺せず発注評価を止める"
