"edge_id","strategy_family_id","strategy_family_name","pattern_id","pattern_name","strategy_version","edge_type","from_state_id","from_state_name","to_state_id","to_state_name","transition_guard","result","terminal_intent","invalidation_guard","expiry_class","observability","provenance","source_ids"
"PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E01","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","CVD Divergence / New Extreme / Aggressor Flip","0.1.0","ADVANCE","S00_ARMED_BY_HOOK","Hookがnamed PatternのObservation Instanceを開始","S01_OBSERVED","key level接近","key level接近","ADVANCED","","","REACTION","DIRECT","WORLD_DERIVED","S13 S16"
"PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E02","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","CVD Divergence / New Extreme / Aggressor Flip","0.1.0","ADVANCE","S01_OBSERVED","key level接近","S02_OBSERVED","priceだけ新極値","priceだけ新極値","ADVANCED","","","REACTION","DIRECT","WORLD_DERIVED","S13 S16"
"PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E03","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","CVD Divergence / New Extreme / Aggressor Flip","0.1.0","ADVANCE","S02_OBSERVED","priceだけ新極値","S03_OBSERVED","CVD不追随","CVD不追随","ADVANCED","","","REACTION","DIRECT","WORLD_DERIVED","S13 S16"
"PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E04","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","CVD Divergence / New Extreme / Aggressor Flip","0.1.0","ADVANCE","S03_OBSERVED","CVD不追随","S04_OBSERVED","initiator volume減衰","initiator volume減衰","ADVANCED","","","REACTION","DIRECT","WORLD_DERIVED","S13 S16"
"PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E05","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","CVD Divergence / New Extreme / Aggressor Flip","0.1.0","ADVANCE","S04_OBSERVED","initiator volume減衰","S05_OBSERVED","opposite aggression","opposite aggression","ADVANCED","","","REACTION","DIRECT","WORLD_DERIVED","S13 S16"
"PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E90","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","CVD Divergence / New Extreme / Aggressor Flip","0.1.0","TERMINAL","S05_OBSERVED","opposite aggression","S90_ORDER_READY","Pattern観察完了。risk／execution gateへOrder Intentを渡せる","reversal-side ready","ORDER_READY","reversal-side ready","","REACTION","DIRECT","WORLD_DERIVED","S13 S16"
"PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E98","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","CVD Divergence / New Extreme / Aggressor Flip","0.1.0","INVALIDATE","ANY_ACTIVE_STATE","S00からterminal前までの任意active state","S98_INVALIDATED","反証によりObservation Instance終了","CVD再整列かつ新価格acceptance","INVALIDATED","","CVD再整列かつ新価格acceptance","REACTION","DIRECT","WORLD_DERIVED","S13 S16"
"PAT-CVD-EXTREME-NONCONFIRM-FLIP-001::E99","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-EXTREME-NONCONFIRM-FLIP-001","CVD Divergence / New Extreme / Aggressor Flip","0.1.0","EXPIRE","ANY_ACTIVE_STATE","S00からterminal前までの任意active state","S99_EXPIRED","観察期限到達によりObservation Instance終了","expiry_class=REACTIONの較正済み期限到達","EXPIRED","","","REACTION","DIRECT","WORLD_DERIVED","S13 S16"
"PAT-CVD-ABSORPTION-STRUCTUREBREAK-001::E01","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","CVD Divergence / Absorption / Structure Break","0.1.0","ADVANCE","S00_ARMED_BY_HOOK","Hookがnamed PatternのObservation Instanceを開始","S01_OBSERVED","trendがliquidityへ到達","trendがliquidityへ到達","ADVANCED","","","BREAK_ACCEPT","HYBRID","WORLD_DERIVED","S19 S20"
"PAT-CVD-ABSORPTION-STRUCTUREBREAK-001::E02","STR-CVD-DIVERGENCE","CVD Divergence","PAT-CVD-ABSORPTION-STRUCTUREBREAK-001","CVD Divergence / Absorption / Structure Break","0.1.0","ADVANCE","S01_OBSERVED","trendがliquidityへ到達","S02_OBSERVED","divergence","divergence","ADVANCED","","","BREAK_ACCEPT","HYBRID","WORLD_DERIVED","S19 S20"
