native_timeframe,direction_class,hypothesis,state,window_sec,horizon_sec,native_agreement,n,match_pct,signed_mean_bps,signed_median_bps
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,60,MISSING,399,56.64160401002506,0.5998215891729322,0.35338458
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,60,NATIVE_STALLED,17,35.294117647058826,-0.25545439705882383,-0.29535852
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,60,OPPOSITE_DIRECTION,205,51.707317073170735,0.08755976126829268,0.03117839
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,60,SAME_DIRECTION,231,55.41125541125541,0.3206227372294374,0.38993773
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,60,STALE,84,48.80952380952381,-0.40117895011904786,0.0
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,MISSING,394,59.64467005076142,1.2819796501776637,1.126761225
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,NATIVE_STALLED,17,58.8235294117647,0.45072680529411746,0.24876047
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,OPPOSITE_DIRECTION,196,42.857142857142854,-1.7399182922959189,-1.000738195
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,SAME_DIRECTION,220,45.0,-0.2092570147727273,-0.30460492
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,STALE,83,45.78313253012048,-1.5279373744578315,-0.82376292
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,MISSING,390,57.69230769230769,2.1555865238205105,1.4771130499999998
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,NATIVE_STALLED,15,73.33333333333333,1.9821439273333334,2.87585926
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,OPPOSITE_DIRECTION,192,43.229166666666664,-3.327134676510418,-1.878571115
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,SAME_DIRECTION,213,42.72300469483568,-1.5678393004225346,-0.94031802
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,STALE,79,45.56962025316456,-0.6202258965822788,-0.95057182
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,MISSING,384,61.197916666666664,3.905521274687498,2.8331929899999997
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,NATIVE_STALLED,11,54.54545454545455,1.3277218063636362,1.7928998
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,OPPOSITE_DIRECTION,183,44.80874316939891,-5.924345324754099,-1.37159673
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,SAME_DIRECTION,201,43.78109452736319,-2.8295596060696515,-1.30077325
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,STALE,75,42.666666666666664,-1.9624404283999999,-1.27795328
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,MISSING,328,57.6219512195122,0.6268869509756095,0.454756905
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,NATIVE_STALLED,9,44.44444444444444,1.6324120522222225,-0.12471938
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,OPPOSITE_DIRECTION,159,54.716981132075475,0.4565850428301885,0.31168621
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,SAME_DIRECTION,187,52.406417112299465,0.2104551063101605,0.18693511
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,STALE,73,46.57534246575342,-0.420177874520548,-0.21880675
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,MISSING,322,55.900621118012424,1.352063872111801,0.839781895
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,NATIVE_STALLED,9,44.44444444444444,3.1827234511111104,-0.12470441
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,OPPOSITE_DIRECTION,154,44.8051948051948,-0.7810951311038964,-0.68771085
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,SAME_DIRECTION,181,46.96132596685083,-0.05111263027624323,-0.1092659
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,STALE,73,49.31506849315068,-0.19680021054794505,-0.01564204
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,300,MISSING,319,53.291536050156736,1.5748514577742967,0.75593136
