timeframe,context_code,horizon_sec,status,n,long_positive_n,long_positive_pct,long_net_p25_usd,long_net_median_usd,long_net_p75_usd,long_mfe_p25_usd,long_mfe_median_usd,long_mfe_p75_usd,long_mae_p25_usd,long_mae_median_usd,long_mae_p75_usd,short_positive_n,short_positive_pct,short_net_p25_usd,short_net_median_usd,short_net_p75_usd,short_mfe_p25_usd,short_mfe_median_usd,short_mfe_p75_usd,short_mae_p25_usd,short_mae_median_usd,short_mae_p75_usd
10m,P1_BUILDING,180,OK,4,1,25.0,-82.7505,-61.184000000000005,-18.539500000000004,-22.456500000000002,-1.2279999999999998,59.1175,-86.34075,-66.5655,-53.575500000000005,3,75.0,-24.806,15.591999999999999,38.059749999999994,9.94,20.6565,41.6545,-97.9285,-41.6235,-23.875
10m,P1_BUILDING,180,QUOTE_GAP,1,1,100.0,2.508,2.508,2.508,29.269,29.269,29.269,-87.706,-87.706,-87.706,0,0.0,-42.508,-42.508,-42.508,47.706,47.706,47.706,-68.282,-68.282,-68.282
10m,P1_BUILDING,300,OK,5,2,40.0,-55.153,-49.902,45.297,-22.437,19.981,65.669,-87.706,-69.815,-63.316,3,60.0,-85.127,3.464,10.637,17.936,23.377,47.706,-104.579,-59.19,-24.057
10m,P1_BUILDING,600,OK,4,2,50.0,-104.5885,-20.340999999999998,64.67500000000001,9.3765,82.225,172.5845,-121.224,-90.992,-71.868,2,50.0,-104.033,-22.137,60.5045,32.2675,48.24,77.15125,-211.89275,-121.768,-50.22475
10m,P1_BUILDING,600,QUOTE_GAP,1,0,0.0,-52.821,-52.821,-52.821,-22.515,-22.515,-22.515,-126.861,-126.861,-126.861,1,100.0,7.298,7.298,7.298,83.694,83.694,83.694,-24.057,-24.057,-24.057
10m,P1_MISSING,180,OK,1,0,0.0,-42.342,-42.342,-42.342,-2.402,-2.402,-2.402,-42.439,-42.439,-42.439,1,100.0,2.342,2.342,2.342,2.439,2.439,2.439,-37.465,-37.465,-37.465
10m,P1_MISSING,300,OK,1,0,0.0,-40.849,-40.849,-40.849,-2.402,-2.402,-2.402,-50.759,-50.759,-50.759,1,100.0,1.81,1.81,1.81,10.894,10.894,10.894,-37.465,-37.465,-37.465
10m,P1_MISSING,600,OK,1,0,0.0,-66.825,-66.825,-66.825,-2.402,-2.402,-2.402,-73.678,-73.678,-73.678,1,100.0,27.942,27.942,27.942,34.009,34.009,34.009,-37.465,-37.465,-37.465
10m,P1_UNWINDING,180,OK,2,1,50.0,-70.68525,-43.7405,-16.795749999999998,-11.24525,-3.7835,3.6782500000000002,-78.848,-59.232,-39.616,1,50.0,-22.620750000000008,4.458499999999997,31.53775,0.24649999999999928,20.493,40.7395,-43.138250000000006,-35.5275,-27.91675
10m,P1_UNWINDING,180,QUOTE_GAP,2,0,0.0,-33.67875,-27.2505,-20.82225,-17.898249999999997,-16.2095,-14.52075,-43.076,-37.345,-31.614,1,50.0,-17.777,-11.524000000000001,-5.271000000000001,-6.73225,-0.5344999999999995,5.66325,-24.12575,-22.6595,-21.19325
10m,P1_UNWINDING,300,OK,3,1,33.333333333333336,-40.6175,-10.432,-1.5430000000000001,-15.0095,-10.432,8.946000000000002,-48.692499999999995,-25.883,-22.941499999999998,1,33.333333333333336,-37.4835,-28.28,1.4314999999999998,-16.465,-12.93,9.761500000000002,-48.4095,-28.654,-24.1905
10m,P1_UNWINDING,600,OK,4,1,25.0,-98.55775,-48.6435,-14.02525,-18.927,-14.569500000000001,-0.7429999999999994,-115.24875,-53.6505,-26.5955,2,50.0,-25.417499999999997,9.850000000000001,60.56875,-13.20275,15.562000000000001,78.57900000000001,-38.53175,-24.48,-20.161250000000003
10m,P2_BUILDING,180,OK,2,1,50.0,-21.16425,-11.4625,-1.7607499999999998,-1.5840000000000005,1.6869999999999994,4.957999999999999,-33.0105,-28.63,-24.249499999999998,0,0.0,-37.79975,-28.2445,-18.68925,-15.484000000000002,-11.124,-6.764,-44.805,-41.585,-38.365
10m,P2_BUILDING,300,OK,2,0,0.0,-24.56675,-23.7305,-22.89425,2.25,4.242999999999999,6.236,-35.59375,-33.7965,-31.999250000000004,0,0.0,-16.591,-15.876000000000001,-15.161000000000001,-6.712,-5.276,-3.84,-46.083,-44.141,-42.199
10m,P2_BUILDING,600,OK,2,1,50.0,-21.2075,-13.11,-5.0125,12.530249999999999,16.8315,21.13275,-40.88675,-39.7215,-38.55625,0,0.0,-34.5215,-26.529000000000003,-18.5365,-1.25225,-0.10050000000000003,1.05125,-61.029250000000005,-56.694500000000005,-52.35975
10m,P2_UNWINDING,180,OK,1,0,0.0,-86.456,-86.456,-86.456,40.665,40.665,40.665,-89.146,-89.146,-89.146,1,100.0,46.456,46.456,46.456,50.659,50.659,50.659,-79.16,-79.16,-79.16
10m,P2_UNWINDING,300,QUOTE_GAP,1,0,0.0,-12.235,-12.235,-12.235,40.665,40.665,40.665,-116.138,-116.138,-116.138,0,0.0,-26.917,-26.917,-26.917,76.138,76.138,76.138,-79.16,-79.16,-79.16
10m,P2_UNWINDING,600,OK,1,0,0.0,-57.558,-57.558,-57.558,41.465,41.465,41.465,-116.138,-116.138,-116.138,1,100.0,17.561,17.561,17.561,76.138,76.138,76.138,-80.54,-80.54,-80.54
10m,P3_BUILDING,180,OK,2,0,0.0,-30.591500000000003,-27.964,-25.3365,-18.00625,-17.0295,-16.05275,-34.24825,-31.996499999999997,-29.74475,0,0.0,-12.77925,-10.1385,-7.49775,-8.57,-6.526000000000001,-4.482,-21.152,-20.813000000000002,-20.474
10m,P3_BUILDING,300,OK,2,1,50.0,-6.86275,1.1454999999999993,9.153749999999999,-5.282749999999999,3.1535,11.58975,-37.4395,-34.124,-30.808500000000002,0,0.0,-47.497749999999996,-39.7475,-31.99725,-6.99525,-3.3765,0.24224999999999985,-49.3735,-41.055,-32.7365
10m,P3_BUILDING,600,OK,2,0,0.0,-42.15775,-35.2605,-28.36325,-3.640249999999999,6.4385,16.51725,-49.99575,-46.9155,-43.83525,1,50.0,-10.17125,-2.6905,4.79025,7.3115000000000006,10.762,14.2125,-54.64825,-44.5715,-34.494749999999996
10m,P3_UNWINDING,180,OK,1,0,0.0,-19.657,-19.657,-19.657,-18.17,-18.17,-18.17,-19.883,-19.883,-19.883,0,0.0,-18.483,-18.483,-18.483,-16.868,-16.868,-16.868,-18.484,-18.484,-18.484
