source_dataset,sample_scope,jst_hour,state,window_sec,event_n
NEW_05M,PRIMARY_CLEAN,0,BUY_EFFECTIVE,30,63
NEW_05M,PRIMARY_CLEAN,0,BUY_EFFECTIVE,60,32
NEW_05M,PRIMARY_CLEAN,0,BUY_EFFECTIVE,180,13
NEW_05M,PRIMARY_CLEAN,0,BUY_EFFECTIVE,300,9
NEW_05M,PRIMARY_CLEAN,0,BUY_EFFECTIVE,900,2
NEW_05M,PRIMARY_CLEAN,0,BUY_STALLED,30,58
NEW_05M,PRIMARY_CLEAN,0,BUY_STALLED,60,26
NEW_05M,PRIMARY_CLEAN,0,BUY_STALLED,180,6
NEW_05M,PRIMARY_CLEAN,0,BUY_STALLED,300,3
NEW_05M,PRIMARY_CLEAN,0,BUY_TRAPPED,30,11
NEW_05M,PRIMARY_CLEAN,0,BUY_TRAPPED,60,5
NEW_05M,PRIMARY_CLEAN,0,BUY_TRAPPED,180,4
NEW_05M,PRIMARY_CLEAN,0,BUY_TRAPPED,300,3
NEW_05M,PRIMARY_CLEAN,0,SELL_EFFECTIVE,30,59
NEW_05M,PRIMARY_CLEAN,0,SELL_EFFECTIVE,60,31
NEW_05M,PRIMARY_CLEAN,0,SELL_EFFECTIVE,180,19
NEW_05M,PRIMARY_CLEAN,0,SELL_EFFECTIVE,300,5
NEW_05M,PRIMARY_CLEAN,0,SELL_EFFECTIVE,900,3
NEW_05M,PRIMARY_CLEAN,0,SELL_STALLED,30,62
NEW_05M,PRIMARY_CLEAN,0,SELL_STALLED,60,19
NEW_05M,PRIMARY_CLEAN,0,SELL_STALLED,180,5
NEW_05M,PRIMARY_CLEAN,0,SELL_STALLED,300,6
NEW_05M,PRIMARY_CLEAN,0,SELL_STALLED,900,2
NEW_05M,PRIMARY_CLEAN,0,SELL_TRAPPED,30,11
NEW_05M,PRIMARY_CLEAN,0,SELL_TRAPPED,60,5
NEW_05M,PRIMARY_CLEAN,0,SELL_TRAPPED,180,3
NEW_05M,PRIMARY_CLEAN,0,SELL_TRAPPED,300,2
NEW_05M,PRIMARY_CLEAN,0,SELL_TRAPPED,900,2
NEW_05M,PRIMARY_CLEAN,1,BUY_EFFECTIVE,30,46
NEW_05M,PRIMARY_CLEAN,1,BUY_EFFECTIVE,60,40
NEW_05M,PRIMARY_CLEAN,1,BUY_EFFECTIVE,180,28
NEW_05M,PRIMARY_CLEAN,1,BUY_EFFECTIVE,300,14
NEW_05M,PRIMARY_CLEAN,1,BUY_EFFECTIVE,900,3
NEW_05M,PRIMARY_CLEAN,1,BUY_STALLED,30,82
NEW_05M,PRIMARY_CLEAN,1,BUY_STALLED,60,48
NEW_05M,PRIMARY_CLEAN,1,BUY_STALLED,180,18
NEW_05M,PRIMARY_CLEAN,1,BUY_STALLED,300,10
NEW_05M,PRIMARY_CLEAN,1,BUY_TRAPPED,30,6
NEW_05M,PRIMARY_CLEAN,1,BUY_TRAPPED,60,7
NEW_05M,PRIMARY_CLEAN,1,BUY_TRAPPED,180,2
NEW_05M,PRIMARY_CLEAN,1,BUY_TRAPPED,300,6
NEW_05M,PRIMARY_CLEAN,1,SELL_EFFECTIVE,30,63
NEW_05M,PRIMARY_CLEAN,1,SELL_EFFECTIVE,60,39
NEW_05M,PRIMARY_CLEAN,1,SELL_EFFECTIVE,180,26
NEW_05M,PRIMARY_CLEAN,1,SELL_EFFECTIVE,300,15
NEW_05M,PRIMARY_CLEAN,1,SELL_EFFECTIVE,900,2
NEW_05M,PRIMARY_CLEAN,1,SELL_STALLED,30,81
NEW_05M,PRIMARY_CLEAN,1,SELL_STALLED,60,45
NEW_05M,PRIMARY_CLEAN,1,SELL_STALLED,180,10
NEW_05M,PRIMARY_CLEAN,1,SELL_STALLED,300,4
NEW_05M,PRIMARY_CLEAN,1,SELL_TRAPPED,30,12
NEW_05M,PRIMARY_CLEAN,1,SELL_TRAPPED,60,4
NEW_05M,PRIMARY_CLEAN,1,SELL_TRAPPED,180,5
NEW_05M,PRIMARY_CLEAN,1,SELL_TRAPPED,300,3
NEW_05M,PRIMARY_CLEAN,2,BUY_EFFECTIVE,30,103
NEW_05M,PRIMARY_CLEAN,2,BUY_EFFECTIVE,60,89
NEW_05M,PRIMARY_CLEAN,2,BUY_EFFECTIVE,180,38
NEW_05M,PRIMARY_CLEAN,2,BUY_EFFECTIVE,300,39
NEW_05M,PRIMARY_CLEAN,2,BUY_EFFECTIVE,900,5
NEW_05M,PRIMARY_CLEAN,2,BUY_STALLED,30,155
NEW_05M,PRIMARY_CLEAN,2,BUY_STALLED,60,94
NEW_05M,PRIMARY_CLEAN,2,BUY_STALLED,180,24
NEW_05M,PRIMARY_CLEAN,2,BUY_STALLED,300,27
NEW_05M,PRIMARY_CLEAN,2,BUY_TRAPPED,30,21
NEW_05M,PRIMARY_CLEAN,2,BUY_TRAPPED,60,14
NEW_05M,PRIMARY_CLEAN,2,BUY_TRAPPED,180,17
NEW_05M,PRIMARY_CLEAN,2,BUY_TRAPPED,300,13
NEW_05M,PRIMARY_CLEAN,2,SELL_EFFECTIVE,30,61
NEW_05M,PRIMARY_CLEAN,2,SELL_EFFECTIVE,60,38
NEW_05M,PRIMARY_CLEAN,2,SELL_EFFECTIVE,180,14
