event_time,best_bid,best_ask,spread,bids_top5,asks_top5,spread_ma5,spread_jump
2026-07-08T18:52:19.994000+0900,11973.7,62075.8,50102.100000000006,"[[1000.0, 210.542], [11573.7, 2.736], [11673.7, 0.992], [11773.7, 0.848], [11973.7, 0.224]]","[[62075.8, 0.742], [62079.7, 1.003], [62079.8, 0.004], [62080.4, 0.243], [62081.5, 0.258]]",12888.060000000001,37214.04000000001
2026-07-08T18:52:36.726000+0900,11870.5,62070.6,50200.1,"[[1000.0, 210.542], [11570.5, 0.144], [11670.5, 2.72], [11770.5, 0.992], [11870.5, 0.944]]","[[62070.6, 1.931], [62072.3, 0.004], [62075.0, 0.687], [62079.2, 0.158], [62080.7, 0.124]]",12456.439999999999,37743.66
2026-07-08T18:54:28.420000+0900,11978.6,62078.7,50100.1,"[[1000.0, 210.542], [11578.6, 0.816], [11778.6, 0.256], [11878.6, 2.736], [11978.6, 0.992]]","[[62078.7, 5.274], [62081.9, 0.027], [62119.4, 0.18], [62119.5, 0.12], [62119.6, 1.458]]",12876.080000000002,37224.02
2026-07-08T18:55:27.072000+0900,11859.0,62059.1,50200.1,"[[1000.0, 210.542], [11559.0, 0.112], [11563.0, 0.864], [11663.0, 1.024], [11859.0, 0.064]]","[[62059.1, 13.581], [62059.2, 0.007], [62059.6, 0.001], [62059.7, 0.052], [62059.9, 0.323]]",13026.739999999998,37173.36
2026-07-08T18:55:31.868000+0900,11940.0,62040.1,50100.1,"[[1000.0, 210.542], [11540.0, 2.72], [11640.0, 0.992], [11740.0, 1.024], [11940.0, 0.064]]","[[62040.1, 11.022], [62041.2, 0.051], [62041.4, 0.161], [62041.7, 0.044], [62041.8, 0.002]]",12642.959999999997,37457.14
2026-07-08T18:55:42.680000+0900,11859.5,62061.4,50201.9,"[[1000.0, 210.542], [11559.5, 0.08], [11659.5, 2.72], [11759.5, 0.992], [11859.5, 1.008]]","[[62061.4, 0.171], [62066.9, 0.263], [62067.6, 0.253], [62067.9, 0.334], [62068.1, 1.68]]",12441.28,37760.62
2026-07-08T18:56:04.308000+0900,11952.4,62052.5,50100.1,"[[1000.0, 210.542], [11552.4, 0.976], [11752.4, 0.112], [11852.4, 2.736], [11952.4, 0.976]]","[[62052.5, 7.757], [62055.6, 0.245], [62056.8, 0.08], [62091.0, 0.09], [62092.3, 0.117]]",12064.84,38035.259999999995
2026-07-08T18:56:12.672000+0900,11852.4,62052.5,50200.1,"[[1000.0, 210.542], [11552.4, 0.064], [11652.4, 2.736], [11752.4, 0.976], [11852.4, 1.024]]","[[62052.5, 3.366], [62053.1, 0.049], [62055.9, 0.001], [62058.7, 1.031], [62060.0, 0.06]]",12963.52,37236.58
2026-07-08T18:56:28.278000+0900,11968.2,62068.3,50100.100000000006,"[[1000.0, 210.542], [11568.2, 1.008], [11768.2, 0.08], [11868.2, 2.72], [11968.2, 0.992]]","[[62068.3, 6.371], [62069.3, 0.457], [62069.4, 0.77], [62069.5, 0.009], [62069.6, 1.642]]",13053.300000000001,37046.8
2026-07-08T18:56:36.642000+0900,11861.5,62061.6,50200.1,"[[1000.0, 210.542], [11561.5, 0.032], [11661.5, 2.72], [11761.5, 0.992], [11861.5, 1.056]]","[[62061.6, 6.742], [62063.6, 0.003], [62064.8, 0.572], [62065.3, 0.921], [62065.7, 0.333]]",13145.98,37054.119999999995
